TIMESTAMP,COMPT,LOC,Lines,Words,TODO,BUG,HACK,LoCCode,LoCComment,LoCWhitespace,LoCOther,Critical,Essential,Desirable,Idealistic,TODOITEMSCLOSED
01:32.8,FRHeavy,,6961,19414,51,3,19,5415,758,1130,0,7,14,15,31,0
55:50.3,FRHeavy,,6973,19483,51,3,19,5419,765,1130,0,7,14,15,31,0
57:41.0,FRHeavy,,6973,19484,52,3,19,5419,765,1130,0,7,15,15,31,0
02:22.8,FRHeavy,,6972,19512,60,4,19,5419,765,1129,0,7,20,17,34,0
06:35.3,FRHeavy,,7013,19745,72,4,20,5439,783,1136,0,10,26,21,40,0
28:18.4,FRHeavy,,7050,20170,81,4,21,5469,787,1141,0,12,55,23,42,0
12:52.4,FRHeavy,,7060,19854,72,4,20,5478,789,1141,0,10,26,21,40,0
2012-11-28 21:26:07.393000,FRHeavy,,7071,19893,72,4,20,5487,792,1142,0,10,26,21,40,0
2012-11-28 21:26:39.095000,FRHeavy,,7070,19892,72,4,20,5486,792,1142,0,10,26,21,40,0
2012-11-28 21:29:56.964000,FRHeavy,,7076,19922,72,4,20,5491,793,1142,0,10,26,21,40,0
2012-11-28 21:32:18.468000,FRHeavy,,7077,20244,81,4,21,5492,794,1142,0,12,54,23,42,0
2012-11-28 21:36:03.411000,FRHeavy,,7073,19917,72,4,20,5488,793,1142,0,10,26,21,40,0
2012-11-28 21:37:22.689000,FRHeavy,,7077,20245,81,4,21,5492,794,1142,0,12,54,23,42,0
2012-11-28 22:33:01.635000,FRHeavy,,7802,23055,115,9,42,6023,963,1221,0,19,40,39,73,0
2012-11-28 22:34:39.639000,FRHeavy,,7802,23055,115,9,42,6023,963,1221,0,19,40,39,73,0
2012-11-28 22:36:16.805000,FRHeavy,,7802,23055,115,9,42,6021,965,1221,0,19,40,39,73,0
